Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,30041,195,7,2609,"186,14","63,34%","28,8","184,55","6552,0"
selectDeLanguage,11007,173,8,2408,"192,07","36,69%","10,6","34,20","3317,5"
LoginPageDE,6965,161,8,1986,"133,40","39,37%","6,7","65,67","10043,6"
userLogin,4219,363,8,2652,"464,78","72,96%","4,1","38,88","9799,4"
MainPage,1141,346,9,2086,"300,15","33,13%","1,1","24,06","22357,6"
PlayersPage,763,565,10,2434,"482,44","30,54%",",7","16,48","22863,5"
userSearchPlayer,530,531,10,2542,"428,73","25,28%",",5","3,85","7677,8"
userGoToStartPage,395,459,9,1973,"357,27","25,06%",",4","9,36","24963,1"
userGoToMatchesPage,296,611,10,1606,"405,51","15,54%",",3","10,48","37343,6"
userSearchMatch,250,1190,9,2948,"779,04","12,00%",",2","2,65","11019,5"
userOpenMatch,394,1308,9,3363,"843,57","14,72%",",4","41,66","110417,6"
userCloseMatch,162,1447,12,3178,"824,29","8,02%",",2","4,85","31256,7"
StartPage,354,612,12,1406,"336,64","9,04%",",3","10,25","30142,7"
userGoToExersicePage,136,902,12,1785,"425,05","4,41%",",1","19,00","143839,4"
userOpenExercise,130,1127,9,2413,"606,05","7,69%",",2","24,51","159753,7"
userGoToTrainingsPage,110,478,11,1434,"296,31","11,82%",",3","10,89","36831,1"
useerOpenTraining,97,1275,11,2465,"630,82","6,19%",",3","28,70","109955,9"
userCloseTraining,91,538,22,1190,"284,45","6,59%",",3","9,54","38969,4"
userLogOut,76,347,25,642,"155,12","3,95%",",7","10,29","15595,9"
TOTAL,57157,239,7,3363,"305,26","52,41%","54,8","500,20","9348,9"
