Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,9939,337,6,16378,"1005,52","91,24%","5,5","11,68","2167,9"
selectDeLanguage,9926,189,7,10646,"560,61","93,29%","5,5","5,70","1057,4"
LoginPageDE,9915,395,7,16855,"1050,19","87,42%","5,5","14,69","2726,5"
userLogin,9905,571,8,45769,"1979,63","92,09%","5,5","11,98","2226,8"
MainPage,9887,541,7,44217,"1951,03","90,29%","5,5","14,10","2622,2"
PlayersPage,9879,481,8,32353,"2107,93","91,02%","5,5","12,97","2408,6"
userSearchPlayer,9870,234,8,18857,"1299,00","73,44%","5,5","4,46","826,3"
userGoToStartPage,9854,481,7,30256,"1763,19","91,07%","5,5","13,45","2492,1"
userGoToMatchesPage,9847,388,7,16777,"1258,56","90,62%","5,5","13,21","2443,0"
userSearchMatch,9839,311,8,29930,"2026,64","73,85%","5,5","4,25","786,1"
userOpenMatch,19653,501,7,54366,"2023,21","90,85%","11,1","32,44","2986,5"
userCloseMatch,9815,444,7,27702,"1667,31","90,25%","5,6","13,32","2441,3"
StartPage,29284,448,6,30368,"1514,79","90,74%","16,7","40,62","2493,8"
userGoToExersicePage,9796,437,7,20667,"1521,77","90,76%","5,6","19,36","3547,5"
userOpenExercise,9786,505,8,28365,"2040,64","90,85%","5,6","20,54","3766,4"
userGoToTrainingsPage,9754,363,7,15113,"1101,85","90,75%","5,6","13,25","2433,6"
useerOpenTraining,9743,559,7,30687,"2233,24","90,80%","5,6","19,60","3597,4"
userCloseTraining,9731,368,7,12160,"1081,88","91,01%","5,6","13,28","2435,7"
userLogOut,9705,657,7,22934,"1379,40","76,08%","5,6","24,14","4435,7"
TOTAL,216128,436,6,54366,"1636,59","88,58%","119,9","297,03","2536,4"
