Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,1012,342,83,30261,"1326,11","0,40%","1,1","17,13","16321,9"
selectDeLanguage,1010,283,26,48888,"1833,71","0,40%","1,1","5,03","4796,9"
LoginPageDE,1009,289,94,28935,"1487,41","0,10%","1,1","16,87","16070,7"
userLogin,1008,1001,88,61864,"3103,31","0,40%","1,1","35,17","33479,3"
MainPage,1005,412,99,21079,"950,37","0,30%","1,1","34,58","32940,4"
PlayersPage,1000,656,19,54041,"1929,22","0,20%","1,1","34,00","32496,6"
userSearchPlayer,998,573,41,79748,"2605,11","0,20%","1,1","10,45","9996,6"
userGoToStartPage,996,489,45,64640,"2228,58","0,30%","1,1","34,41","32939,3"
userGoToMatchesPage,994,734,15,56455,"3429,33","0,80%","1,1","45,64","43683,4"
userSearchMatch,989,937,37,39815,"2259,88","0,51%","1,1","12,86","12344,2"
userOpenMatch,1968,1037,10,70839,"2652,85","0,41%","2,1","267,13","128588,8"
userCloseMatch,979,943,44,39069,"1587,94","0,10%","1,1","35,15","33864,1"
StartPage,2915,470,39,87527,"2457,11","0,10%","3,2","102,31","33001,2"
userGoToExersicePage,978,833,133,57936,"3558,15","0,20%","1,1","156,14","149895,5"
userOpenExercise,974,885,40,70425,"3262,06","0,31%","1,1","178,92","172192,6"
userGoToTrainingsPage,968,343,174,42491,"1360,98","0,00%","1,1","43,24","41618,2"
useerOpenTraining,968,704,217,1991,"133,01","0,10%","1,1","121,18","116835,5"
userCloseTraining,966,389,14,82426,"2644,26","0,10%","1,1","43,26","41575,3"
userLogOut,965,206,70,15329,"491,29","0,21%","1,1","16,82","16137,9"
TOTAL,21702,614,10,87527,"2324,03","0,26%","23,0","1182,43","52584,4"
