Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,4506,8245,148,196189,"7694,58","0,73%","1,9","30,00","16277,1"
selectDeLanguage,4471,4115,54,63044,"4725,88","0,27%","1,9","8,80","4803,7"
LoginPageDE,4456,4711,102,93544,"5617,29","0,47%","1,9","29,25","16010,5"
userLogin,4432,15757,562,148512,"8757,24","1,42%","1,9","60,31","33209,3"
MainPage,4367,6335,262,125282,"5858,40","0,48%","1,8","59,01","32925,4"
PlayersPage,4345,8188,135,140210,"5876,40","0,83%","1,8","76,16","42697,7"
userSearchPlayer,4304,7068,345,83934,"5218,64","0,49%","1,8","21,67","12254,4"
userGoToStartPage,4281,6350,95,63718,"5070,45","0,44%","1,8","58,00","32939,4"
userGoToMatchesPage,4259,6893,266,99082,"5527,72","0,49%","1,8","76,93","43868,8"
userSearchMatch,4237,10028,421,80647,"5394,37","0,66%","1,8","21,56","12355,1"
userOpenMatch,8361,12103,406,131925,"7019,50","1,02%","3,5","441,23","128071,5"
userCloseMatch,4116,11010,223,91420,"6020,34","0,70%","1,7","57,28","33700,7"
StartPage,11949,6469,27,63073,"5166,40","0,62%","5,1","162,44","32885,1"
userGoToExersicePage,4060,7631,85,83205,"5181,78","0,76%","1,7","255,80","152278,8"
userOpenExercise,4028,9517,553,96158,"5770,79","0,79%","1,7","291,21","174617,0"
userGoToTrainingsPage,3963,5922,210,90099,"5335,51","0,61%","1,7","68,09","41427,7"
useerOpenTraining,3937,9669,321,66226,"5646,78","0,84%","1,7","192,61","118031,8"
userCloseTraining,3898,5965,208,63052,"5488,52","0,64%","1,7","66,97","41413,6"
userLogOut,3847,4863,112,68258,"5090,07","0,55%","1,6","25,75","16095,1"
TOTAL,91817,8013,27,196189,"6548,50","0,69%","38,4","1983,66","52843,0"
