Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,7314,18676,124,208399,"22422,60","10,19%","3,9","55,83","14836,9"
selectDeLanguage,6567,9644,51,166670,"16023,54","5,95%","3,4","15,31","4590,3"
LoginPageDE,6169,10540,85,182693,"17666,71","6,48%","3,2","47,11","15092,8"
userLogin,5762,27579,54,226092,"25152,26","15,10%","3,0","85,21","28770,0"
MainPage,4886,10908,232,167948,"16366,37","5,83%","2,6","78,77","31206,5"
PlayersPage,4597,11871,108,169566,"15932,21","5,83%","2,4","96,48","40588,8"
userSearchPlayer,4327,10721,336,141481,"15246,26","5,18%","2,3","25,78","11718,0"
userGoToStartPage,4099,10325,230,171984,"15805,26","5,25%","2,2","66,77","31394,5"
userGoToMatchesPage,3883,11244,269,168033,"16735,12","6,41%","2,0","82,19","41317,1"
userSearchMatch,3631,12101,561,187261,"14731,95","4,74%","1,9","22,45","11881,2"
userOpenMatch,6571,16912,177,173875,"18826,42","7,76%","3,4","400,29","119415,9"
userCloseMatch,2946,12640,619,169562,"14616,72","4,62%","1,6","49,72","32410,8"
StartPage,7161,9905,99,212510,"15539,53","4,71%","3,8","117,77","31568,0"
userGoToExersicePage,2683,11456,377,180527,"15814,75","5,81%","1,4","199,84","144562,7"
userOpenExercise,2523,12638,269,188663,"15580,69","5,19%","1,3","219,75","166899,5"
userGoToTrainingsPage,2267,9363,178,189350,"15393,28","4,10%","1,2","47,56","40000,7"
useerOpenTraining,2174,11808,507,179819,"14744,16","4,46%","1,2","129,38","113744,9"
userCloseTraining,2076,9728,194,180983,"16533,43","5,49%","1,1","42,88","39436,5"
userLogOut,1867,8129,105,165304,"14460,36","4,07%","1,0","15,26","15566,5"
TOTAL,81503,13156,51,226092,"18266,00","6,71%","42,2","1760,50","42742,4"
