Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,1627,1110,7,31582,"1744,07","53,29%",",9","7,09","8083,0"
selectDeLanguage,1623,475,10,98285,"2924,46","67,47%",",9","1,83","2084,9"
LoginPageDE,1621,1125,8,31086,"1889,10","47,50%",",9","7,76","8865,8"
userLogin,1620,4000,10,52607,"6136,88","56,17%",",9","10,12","11553,4"
MainPage,1614,2373,10,39708,"3660,31","48,64%",",9","10,60","12136,6"
PlayersPage,1613,4098,8,46887,"7387,04","51,46%",",9","12,13","13869,0"
userSearchPlayer,1608,2316,4,43909,"5068,63","43,47%",",9","3,17","3628,4"
userGoToStartPage,1603,2224,6,37526,"3577,05","50,16%",",9","10,00","11487,0"
userGoToMatchesPage,1597,2198,8,96811,"4092,05","51,47%",",9","11,38","13097,8"
userSearchMatch,1592,3229,8,46749,"6888,61","44,10%",",9","2,37","2735,1"
userOpenMatch,3175,3860,9,125438,"7443,91","52,28%","1,8","45,54","26217,3"
userCloseMatch,1582,3427,7,74256,"6623,30","49,05%",",9","10,70","12234,3"
StartPage,4702,2283,9,610198,"9616,67","50,17%","2,7","30,20","11546,3"
userGoToExersicePage,1578,2651,7,51109,"4367,87","51,01%",",9","28,71","32571,7"
userOpenExercise,1573,3961,8,129313,"7244,59","49,27%",",9","33,32","37831,6"
userGoToTrainingsPage,1566,1683,8,40035,"2869,31","51,53%",",9","11,23","12703,1"
useerOpenTraining,1564,3683,9,55018,"6301,10","48,34%",",9","23,81","26906,4"
userCloseTraining,1560,1749,8,78238,"4010,52","50,96%",",9","11,04","12500,0"
userLogOut,1549,1313,10,43422,"2115,58","44,03%",",9","8,24","9382,6"
TOTAL,34967,2552,4,610198,"6092,90","50,62%","19,3","272,15","14439,4"
