Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,840,1661,0,18144,"1775,49","24,88%",",5","5,68","12522,7"
selectDeLanguage,838,400,1,21001,"1046,78","38,66%",",5","1,47","3249,1"
LoginPageDE,837,1399,10,21128,"1828,79","23,42%",",5","5,69","12543,8"
userLogin,835,8017,0,59015,"7868,77","28,86%",",5","9,70","21439,4"
MainPage,833,3430,0,20298,"3340,19","27,85%",",5","8,90","19707,2"
PlayersPage,832,8866,0,30632,"9023,78","27,52%",",5","12,01","26691,0"
userSearchPlayer,824,5030,0,21997,"6185,27","28,03%",",5","3,72","8301,4"
userGoToStartPage,819,3200,0,12660,"3026,62","29,18%",",5","8,55","19162,2"
userGoToMatchesPage,818,3612,1,21002,"3384,96","27,14%",",5","11,11","24938,4"
userSearchMatch,815,6891,0,23602,"7754,41","24,54%",",5","2,67","6003,6"
userOpenMatch,1622,7357,0,40012,"8005,97","30,89%",",9","50,71","56973,4"
userCloseMatch,805,6836,0,25502,"7532,08","26,83%",",5","9,27","20628,3"
StartPage,2377,3342,0,21012,"3106,07","26,84%","1,4","26,06","19620,2"
userGoToExersicePage,798,4628,0,21002,"4439,49","27,44%",",5","32,53","72408,0"
userOpenExercise,797,6473,1,29200,"6579,77","27,98%",",5","35,76","79567,2"
userGoToTrainingsPage,789,2528,0,21421,"2437,75","27,63%",",5","10,45","23391,8"
useerOpenTraining,788,7122,1,34646,"7106,35","26,02%",",5","25,86","57793,9"
userCloseTraining,786,2447,0,13686,"2173,17","25,57%",",5","10,56","23657,8"
userLogOut,781,1647,0,21005,"1929,00","24,84%",",5","5,50","12363,0"
TOTAL,17834,4498,0,59015,"5855,52","27,69%","9,8","267,79","27878,9"
